Time(s),CH1(V),CH2(V),CH3(V)
-8.9720E-09,-4.167787E-01,-1.017526E+00,8.681320E-03
-8.8720E-09,-4.167787E-01,-1.017526E+00,8.681320E-03
-8.7720E-09,-4.167787E-01,-1.017526E+00,8.681320E-03
-8.6720E-09,-3.948430E-01,-9.954054E-01,8.681320E-03
-8.5720E-09,-3.948430E-01,-9.954054E-01,8.681320E-03
-8.4720E-09,-3.729073E-01,-9.732853E-01,8.681320E-03
-8.3720E-09,-3.729073E-01,-9.732853E-01,8.681320E-03
-8.2720E-09,-3.729073E-01,-9.732853E-01,8.681320E-03
-8.1720E-09,-3.509715E-01,-9.732853E-01,8.681320E-03
-8.0720E-09,-3.509715E-01,-9.511651E-01,8.681320E-03
-7.9720E-09,-3.509715E-01,-9.511651E-01,8.681320E-03
-7.8720E-09,-3.290358E-01,-9.511651E-01,8.681320E-03
-7.7720E-09,-3.071001E-01,-9.511651E-01,8.681320E-03
-7.6720E-09,-3.071001E-01,-9.511651E-01,8.681320E-03
-7.5720E-09,-2.851644E-01,-9.511651E-01,8.681320E-03
-7.4720E-09,-2.851644E-01,-9.511651E-01,8.681320E-03
-7.3720E-09,-2.632287E-01,-9.511651E-01,8.681320E-03
-7.2720E-09,-2.632287E-01,-9.732853E-01,8.681320E-03
-7.1720E-09,-2.412929E-01,-9.732853E-01,8.681320E-03
-7.0720E-09,-2.412929E-01,-9.732853E-01,8.681320E-03
-6.9720E-09,-2.193572E-01,-9.732853E-01,8.681320E-03
-6.8720E-09,-2.193572E-01,-9.732853E-01,8.681320E-03
-6.7720E-09,-2.193572E-01,-9.732853E-01,8.681320E-03
-6.6720E-09,-2.193572E-01,-9.732853E-01,8.681320E-03
-6.5720E-09,-1.974215E-01,-9.732853E-01,8.681320E-03
-6.4720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-6.3720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-6.2720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-6.1720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-6.0720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-5.9720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-5.8720E-09,-1.974215E-01,-9.732853E-01,1.736264E-02
-5.7720E-09,-1.974215E-01,-9.732853E-01,8.681320E-03
-5.6720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-5.5720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-5.4720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-5.3720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-5.2720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-5.1720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-5.0720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-4.9720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-4.8720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-4.7720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-4.6720E-09,-1.974215E-01,-1.017526E+00,8.681320E-03
-4.5720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-4.4720E-09,-1.974215E-01,-9.954054E-01,8.681320E-03
-4.3720E-09,-1.974215E-01,-9.732853E-01,8.681320E-03
-4.2720E-09,-1.974215E-01,-9.511651E-01,8.681320E-03
-4.1720E-09,-1.974215E-01,-9.511651E-01,8.681320E-03
-4.0720E-09,-1.974215E-01,-9.290450E-01,8.681320E-03
-3.9720E-09,-1.754858E-01,-9.290450E-01,8.681320E-03
-3.8720E-09,-1.754858E-01,-9.069249E-01,8.681320E-03
-3.7720E-09,-1.754858E-01,-8.848048E-01,8.681320E-03
-3.6720E-09,-1.754858E-01,-8.626847E-01,8.681320E-03
-3.5720E-09,-1.754858E-01,-8.626847E-01,8.681320E-03
-3.4720E-09,-1.535500E-01,-8.405645E-01,8.681320E-03
-3.3720E-09,-1.535500E-01,-8.184444E-01,8.681320E-03
-3.2720E-09,-1.535500E-01,-7.963243E-01,8.681320E-03
-3.1720E-09,-1.535500E-01,-7.742042E-01,8.681320E-03
-3.0720E-09,-1.316143E-01,-7.520841E-01,8.681320E-03
-2.9720E-09,-1.316143E-01,-7.520841E-01,8.681320E-03
-2.8720E-09,-1.316143E-01,-7.299640E-01,8.681320E-03
-2.7720E-09,-1.316143E-01,-7.078438E-01,8.681320E-03
-2.6720E-09,-1.316143E-01,-7.078438E-01,8.681320E-03
-2.5720E-09,-1.316143E-01,-6.857237E-01,8.681320E-03
-2.4720E-09,-1.316143E-01,-6.857237E-01,8.681320E-03
-2.3720E-09,-1.316143E-01,-6.636036E-01,8.681320E-03
-2.2720E-09,-1.316143E-01,-6.414835E-01,8.681320E-03
-2.1720E-09,-1.316143E-01,-6.414835E-01,8.681320E-03
-2.0720E-09,-1.316143E-01,-6.193634E-01,8.681320E-03
-1.9720E-09,-1.096786E-01,-5.972432E-01,8.681320E-03
-1.8720E-09,-1.096786E-01,-5.972432E-01,8.681320E-03
-1.7720E-09,-1.096786E-01,-5.972432E-01,8.681320E-03
-1.6720E-09,-1.096786E-01,-5.751231E-01,8.681320E-03
